"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National Health Expenditures (Amount in Billions),27.1,29.1,31.8,34.6,38.2,41.6,45.8,51.2,58,65.4,74.1,82.4,92.4,102.7,116.3,132.7,152,172.6,194,219.7,253.2,293.6,330.9,364.8,401.9,439.9,472.3,514.5,576.6,642.2,718.7,786,852.2,914.9,966.4,1020.3,1073.6,1132.9,1198.4,1273.2,1366,1483.4,1631,1770.4,1894.7,2026.6,2165.1,2305.5,2402.4,2492.7,2589.6,2676.5,2783.3,2855.7,3001.7,3163.8,3305.3,3443.7,3601.2,3756.4,4156.3,4289.1,4464.6
     Health Consumption Expenditures,24.6,26.2,28.3,30.8,33.9,36.9,40.8,46,52.2,58.4,66.3,73.6,82.5,92.2,104.9,119.9,138,158.3,178.1,202.2,232.7,270.1,304.2,335.5,371,408.7,440,478.8,536.8,598.5,670.2,733.9,795.1,854,902.8,954.7,1006.5,1061.3,1119.9,1188.8,1280.3,1393.4,1529.6,1661.8,1777.8,1901,2032.1,2159.3,2246.1,2345.5,2437.5,2517.8,2620.1,2692.6,2842.2,3000.6,3139.1,3263,3411.6,3562.3,3962.2,4081.6,4246.8
             Personal Health Care,23.1,24.6,26.5,29,31.8,34.4,38,43,48.6,54.9,62.4,68.7,76.4,85.3,97.8,112.1,128.1,145.1,162.4,184.9,214.3,248.6,279.5,308,337.9,372.6,405.4,444.4,495.1,547,611.9,672.6,728.3,775.5,817.7,866.5,914.6,965.6,1019.2,1078.8,1156.5,1256.5,1365.5,1475.9,1582.4,1693.8,1806.5,1921.5,2007.2,2105.5,2180.5,2253.9,2346.2,2404.6,2526.2,2672.9,2793.7,2901.3,3017.1,3171.2,3375.3,3561.5,3704.8
             Government Administration and Net Cost of Health Insurance,1.1,1.2,1.3,1.3,1.5,1.8,2,2.1,2.6,2.4,2.6,3.2,4.3,4.8,4.5,4.9,6.7,9.3,11.1,11.9,11.9,13.9,16.1,18.3,23.2,24.9,22.2,20.8,26.4,33.7,38.3,39.2,42.5,51.7,55.5,57.2,59.5,60.8,63.3,69.3,80.7,90.1,111.9,131.7,140.4,150,164.8,171.9,167.4,165.9,181.4,189.5,196.7,206.6,231.5,242.2,255.5,266.3,295.1,282.8,345.1,309.5,333.6
             Government Public Health Activities,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1,1.2,1.4,1.7,1.9,2.1,2.6,3,3.2,3.8,4.6,5.4,6.4,7.5,8.6,9.3,9.8,11.2,12.4,13.6,15.3,17.8,20,22.1,24.4,26.8,29.6,31,32.4,34.8,37.5,40.7,43,46.8,52.2,54.2,54.9,57.3,60.9,66,71.6,74.2,75.7,74.4,77.2,81.5,84.4,85.5,90,95.5,99.4,108.4,241.9,210.6,208.4
     Investment,2.6,2.9,3.5,3.8,4.3,4.8,5,5.2,5.9,7,7.7,8.8,9.9,10.4,11.5,12.7,14,14.4,15.9,17.5,20.6,23.5,26.7,29.3,30.9,31.1,32.3,35.7,39.9,43.7,48.6,52,57.1,60.9,63.6,65.6,67.1,71.7,78.5,84.4,85.7,90,101.5,108.6,116.9,125.5,133,146.2,156.3,147.2,152.1,158.7,163.2,163.1,159.6,163.1,166.2,180.6,189.6,194,194.2,207.5,217.8
U.S. Population1 (Millions),186,189,192,195,197,200,202,204,206,208,210,213,215,217,218,220,222,224,226,228,230,233,235,237,239,242,244,246,248,251,254,256,260,263,265,268,271,274,276,279,282,285,287,290,292,295,298,301,304,306,309,311,314,316,318,320,323,325,327,328,329,330,331
Gross Domestic Product2  (Amount in Billions),542.4,562.2,603.9,637.5,684.5,742.3,813.4,860,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207,3343.8,3634,4037.6,4339,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6,9062.8,9631.2,10251,10581.9,10929.1,11456.5,12217.2,13039.2,13815.6,14474.2,14769.9,14478.1,15049,15599.7,16254,16880.7,17608.1,18295,18804.9,19612.1,20656.5,21521.4,21323,23594,25744.1
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.8,10.7,8.8,9.9,11.9,13.3,12.8,13.2,11.2,12.1,11.1,13.3,14,14.6,13.6,12.3,13.3,15.3,15.9,12.7,10.2,10.2,9.5,7.4,8.9,12.1,11.4,11.9,9.4,8.4,7.4,5.6,5.6,5.2,5.5,5.8,6.2,7.3,8.6,9.9,8.5,7,7,6.8,6.5,4.2,3.8,3.9,3.4,4,2.6,5.1,5.4,4.5,4.2,4.6,4.3,10.6,3.2,4.1
